PULocationID,pickup_count,trip_distance_average,minutes_average,total_amount_average
83,7840,3.887984144923415,15.610286669999766,19.27835525232866
84,19,6.818250000000001,23.10527777777778,30.83958333333333
85,5198,7.116994018353726,28.553756695409238,30.566762360301237
86,1856,15.132225541227696,46.93292830646607,54.6488247851994
87,588474,4.405173922247044,18.336773331114234,23.4844164522768
88,315340,4.783470060222903,19.47347581428756,24.693508065601332
89,15289,6.7019429205282846,26.7400348325862,29.168435642532014
90,1452465,2.0655755248787644,12.561849843918594,15.98950408026674
91,7689,7.458974221402414,30.915129233474804,31.637637436866587
92,6050,7.385890298650108,25.027574910549948,32.09377182760381
93,22464,10.094549145428864,26.89019870204344,63.366258863210994
94,1627,6.666535004489552,25.398115757214928,28.817213232512298
95,15244,5.807171895717107,21.01595970482253,26.892904058348208
96,303,7.9141608719576055,24.27178043426595,35.45574373518583
97,66524,3.545118796052804,15.605988435166822,18.03404494303452
98,1546,8.279131026791484,28.28778368149904,33.68491751471465
99,19,10.3732,28.502999999999997,39.54653333333333
100,1703688,2.372983945198364,14.041135936705151,17.21184102881568
101,1958,12.172063077592597,29.704272760690895,42.56167125027332
102,2094,6.714527505939646,26.048043908606747,30.18572531183324
104,1,8.18,18.883333333333333,31.56
105,114,4.361498346560847,18.766320697049863,23.078395923520926
106,9065,3.827055909646542,15.761640271134473,19.38358933437861
107,1878202,2.194104701190947,12.730510554249014,16.41109167121184
108,1589,8.505530297023075,27.137713853088524,34.00721396338024
109,38,5.57022619047619,18.602202380952384,24.821035714285713
111,148,3.6045077897248947,15.432481741577137,19.786307437202172
112,22856,3.6209708916422314,15.3387369074698,18.43185031474941
113,1264596,2.135071210165613,13.228714890492315,16.312300553764338
114,1055506,2.3822279213345756,13.264516258908024,16.855985703843555
115,151,12.930504511813723,36.369848538401165,51.7876103999558
116,95808,3.241688892209403,13.875709422292795,16.537977084684524
117,1728,13.971875764838598,42.37181647592379,50.589447333679054
118,219,9.333303479894486,31.312016677672048,38.71987286172197
119,4510,6.74645546806446,23.497326523295072,28.768453071706812
120,435,5.681889019495736,16.959104415013705,34.61801208170866
121,3401,7.8254893996952815,25.962322600990458,33.00109455536478
122,1757,10.740564844400694,32.63805513064289,41.49256907929489
123,3468,6.16401217992975,25.56043631941326,27.90023069701789
124,2831,9.98610338474876,30.655483823060212,40.622004391452954
125,465842,2.5489159799383647,13.77411931174504,17.69408306026457
126,2134,6.6670482712661014,25.188919603495332,29.163442676317658
127,7915,4.760784308992021,16.64126098318138,21.156463517724642
128,637,6.8146683342557175,21.774109068427865,28.174719993571713
129,40698,3.858789573717269,15.17287200292524,18.450979138286414
130,15950,11.033045618611837,31.685843726600734,52.241869940341815
131,3034,8.914448556759737,27.617581385103346,35.89917794660662
132,2544653,15.28355701785884,39.64004612632399,55.29681572345089
133,4545,5.551008617074735,22.090151027944582,25.375272161744636
134,6947,7.587410257910236,22.339246489375252,42.23939891095589
135,4666,8.463025874191041,25.975222071274587,33.91457380106096
136,3968,7.744911494478784,27.693009070422193,32.33313622734915
137,986232,2.351621358863824,12.430588854991731,16.375109198285276
