DOLocationID,dropoff_count,trip_distance_average,minutes_average,total_amount_average
1,12,17.34652076176972,41.942580139384354,96.81342846490666
2,12,10.000563492063492,28.57355654761905,38.624983465608466
3,12,13.448016426908701,34.59648311974612,48.10757034270173
4,12,2.5466860070403103,12.98064785664854,16.95934190072221
5,12,20.879104994039775,42.58131266097027,79.98190261851674
6,12,16.743169194061228,37.73000446736436,70.72089864483588
7,12,4.831835330507834,19.2093027179679,23.18199077385637
8,12,6.308261015071515,20.939900286052218,28.363169263441407
9,12,10.71986219520155,27.801363333355763,39.09478657265311
10,12,5.605642367819176,16.322573449819398,22.3661714925848
11,12,14.101615497515214,34.293376447960675,49.162844928975154
12,12,3.84752796684821,18.113889150058714,21.038847159446323
13,12,4.238877985162548,18.199209150381908,22.836822516466913
14,12,12.903320795782227,32.90370147272422,48.334888008835215
15,12,12.2470467775157,28.335688347892198,42.17835461168636
16,12,12.740551213877758,29.290615456358157,44.390205643355365
17,12,6.764508071811904,27.64569960575457,30.457746771699963
18,12,11.589500876553075,32.83836136804691,42.451513549719515
19,12,11.682949274709737,27.772527082077357,39.92546229199193
20,12,11.406096622158493,33.21950222545382,43.276257304355255
21,12,13.685707488496774,37.57152496934868,48.66146587660868
22,12,13.352156877970978,35.7377568699632,47.561522286402656
23,12,17.30893798022122,37.7677642427037,69.99133314552746
24,12,2.8369803882474174,12.48213855411803,16.729951340199815
25,12,6.562471059100104,25.33357827508279,29.827114849893434
26,12,12.196514330986632,38.30384181115205,44.62165959526124
27,12,17.275110557829972,37.425508258944916,59.73504388515783
28,12,7.820436678530858,22.026722663041053,28.86611221121865
29,12,15.252368185009045,37.602139225816096,51.40241732996011
30,12,12.572165499133972,34.720477677327615,45.215220417255296
31,12,11.95570172056665,32.42537557649397,44.88419855547371
32,12,12.504444345259705,33.87044115372019,44.61815373714828
33,12,5.626678041632012,22.202117870477924,26.688774631099076
34,12,5.0206341681333475,21.623806076907837,24.727842106517077
35,12,8.969108629097635,34.664431837494796,35.27037205996938
36,12,7.254677714603541,28.605904499541648,32.15039118110629
37,12,6.953468004657694,28.304496382971134,31.25749975645419
38,12,9.936924082643426,26.418824309434115,34.407014808331674
39,12,10.524009507182098,33.11639396238926,38.16207379498974
40,12,6.697373544961167,24.31991055359335,31.030154078039896
41,12,3.3350718123749936,14.598430625743417,18.21683093408247
42,12,4.4924169616316325,17.531907089630923,21.64230887412538
43,12,2.1508367634384844,12.752374144367947,15.914320619027938
44,12,19.662878848003846,36.9767525992526,76.10220048932548
45,12,3.274074433089248,16.641579249612047,19.62994343644135
46,12,16.64467727984919,38.57019152275632,58.49561231465202
47,12,8.383042429589091,28.954840507705608,32.897436764289814
48,12,2.3756877086672703,14.148654848638769,17.301893559178996
49,12,6.586608862315753,26.36886504796169,30.202135225951352
50,12,2.164502815700383,13.050062074940504,16.305549650642998
51,12,13.959231084620946,36.47537727432361,49.35355132174153
52,12,6.109646505427578,23.38608096004128,28.766458573913038
53,12,9.787712440278625,27.470731669674617,35.47019829607761
54,12,6.495061392482589,22.964659299755585,29.652383511415028
55,12,15.614676355263006,38.990807880969804,52.871647911076
56,12,8.117767691856395,23.41716719570591,29.761408945253834
57,12,7.3257279004361076,23.3403623348978,28.502694644372255
58,12,12.993279385995896,31.245085449191453,47.30737436217012
59,12,9.450454281608055,31.409159241767444,36.97787813998153
60,12,9.209141127551588,28.518488983839045,35.20261789740463
61,12,7.752900796255485,31.264160995970133,33.54279849674623
62,12,8.328168316377075,33.84347498394555,35.07952597994466
63,12,8.999715175761969,28.847877109081747,33.66139440573891
64,12,13.547236189477497,30.79404917309048,46.57680419639033
65,12,6.30982517238886,23.896777989926903,28.52691478649687
66,12,5.126917631546891,21.86022307662815,25.45193899197115
67,12,12.337855050252257,33.13511359399261,46.099757082642945
68,12,2.1541309582318675,12.987289495968449,16.393376019001785
69,12,7.220581775897628,25.203027130305895,29.674519731324008
70,12,6.538926653219228,21.034388317561415,28.008034495640203
71,12,10.005720466078317,37.41210410797907,38.76177882358867
72,12,9.45976906449381,36.81159972217836,36.74373717019935
73,12,9.943692862019006,28.858879949122564,36.86782551053594
74,12,2.996146541432767,12.678818361043199,16.438762901055
75,12,2.5297264249282456,11.674407900785488,15.568869198522313
76,12,8.792732038527244,30.272535103333045,33.60092707755519
77,12,9.350892504844326,33.016163963234014,36.07052922673643
78,12,9.630014178774132,31.430360958799707,36.69765454406255
79,12,2.2516191145834714,12.474839277344172,16.4044919193412
80,12,6.1897963205831035,23.115042368591492,28.71002998471324
81,12,13.751883226364507,34.92844868325508,48.03802951572404
