PULocationID,pickup_count,trip_distance_average,minutes_average,total_amount_average
24,12,2.4703446135817018,12.372243644563783,15.377510927766066
25,12,3.7746331615303834,16.16009256944618,18.831437695323835
26,12,5.957880929400069,27.62517209450799,27.09785916728751
27,12,8.644686507936507,23.840407848324514,34.45347354497354
28,12,10.591029563441017,29.239032163301022,52.959255144605805
29,12,8.07989936535342,27.77387430815108,33.18526651343114
30,12,10.732609126984128,31.32541335978836,42.68761904761905
31,12,7.718356460241794,26.422261692818207,32.71816621360893
32,12,8.533755144609819,31.120773406703194,34.66214630058184
33,12,4.133313632781361,17.40793312529834,20.678157426864956
34,12,3.4544006597568018,15.760457807919764,18.266793278865748
35,12,7.576869185547782,30.851161372903807,31.75875903585275
36,12,4.76676403747038,20.543824087481422,22.784695917814137
37,12,4.712440054901873,21.465537526672307,22.59728564923336
38,12,11.767335629272916,32.13916339988882,43.3605321359012
39,12,8.089758546108895,30.884342046336972,33.65247895939813
40,12,3.4342549012115278,14.66992847665385,18.31470543358917
41,12,2.3824264775324804,11.7148304742252,13.943658443935957
42,12,2.7933564470788634,12.854104304273449,14.780382645054857
43,12,2.1813904628055876,13.44557167511127,16.334778713053034
44,12,10.605766090699424,21.968997000498437,35.098702120123384
45,12,3.3457437460610495,17.730006871206875,20.376350139399566
46,12,12.484793139121264,33.7953300882728,43.72230519358644
47,12,6.635720136816286,25.852747386527522,28.460423008598084
48,12,2.4434637498231817,13.110379468692015,16.96546708455664
49,12,3.9845360466806077,17.631331927825105,19.86515888271516
50,12,2.4992903077725077,13.17441389529323,17.051432679273663
51,12,10.613379436279208,32.812468858137215,40.61231531414104
52,12,3.601038980985132,15.648638682332122,18.878997554143307
53,12,10.395748896850398,29.5617243177286,37.529257868914605
54,12,4.323827305932804,16.333947380141147,21.409845964888024
55,12,10.889180807780955,33.05000892052991,40.075348491138136
56,12,7.891281602466911,25.007578544208716,48.906632047750215
57,12,6.991642628952867,19.289537169641466,29.690573914626967
58,12,7.73287265767858,25.955021004834126,35.799792865306706
59,12,8.633643364200717,28.934895754186197,35.00718556591351
60,12,7.235239980320109,26.23162035625717,30.75980017873746
61,12,5.484346147937878,23.95534328877027,25.0839184047246
62,12,5.386688789446173,25.00358133811397,24.826059322429003
63,12,8.093302751750016,30.837976788948453,34.96550359100262
64,12,9.452557576284624,25.180491715643797,38.30466954325321
65,12,4.20309208040594,16.551526262432596,20.753790541308952
66,12,4.162938477901971,17.227171726268423,21.16968552366516
67,12,7.3141426178913305,26.47666230315021,30.90663674291356
68,12,2.364640237992516,14.154023445629493,17.3419801913568
69,12,5.843184007492812,24.052355111110092,25.95888533913953
70,12,6.819897346032772,20.485684259002834,28.459962520864035
71,12,7.511766297133147,32.18743735294289,32.26317971576574
72,12,7.170900057030138,32.00366523515566,30.638935789770837
73,12,6.852889385528843,23.696844670927575,28.69684150639028
74,12,2.556968891597894,11.629601834946214,14.312105282541372
75,12,2.4798541692757046,11.797962996536947,14.956106564477023
76,12,7.774928459802183,30.224111117202185,32.643639534858515
77,12,7.7362943105157305,29.837530219502245,32.28611438589936
78,12,7.35967343257068,26.85126882096654,31.440028961148997
79,12,2.413672464331052,12.613528497458672,16.633647899305135
80,12,4.089245968831306,16.429893891924916,21.144690547981188
81,12,9.718622020406373,29.456127420892724,37.19471731556205
82,12,4.481927822094977,17.114576193046723,28.48902584643602
83,12,3.887984144923415,15.610286669999766,19.27835525232866
84,10,6.818250000000001,23.10527777777778,30.83958333333333
85,12,7.116994018353726,28.553756695409238,30.566762360301237
86,12,15.132225541227696,46.93292830646607,54.6488247851994
87,12,4.405173922247044,18.336773331114234,23.4844164522768
88,12,4.783470060222903,19.47347581428756,24.693508065601332
89,12,6.7019429205282846,26.7400348325862,29.168435642532014
90,12,2.0655755248787644,12.561849843918594,15.98950408026674
91,12,7.458974221402414,30.915129233474804,31.637637436866587
92,12,7.385890298650108,25.027574910549948,32.09377182760381
93,12,10.094549145428864,26.89019870204344,63.366258863210994
94,12,6.666535004489552,25.398115757214928,28.817213232512298
95,12,5.807171895717107,21.01595970482253,26.892904058348208
96,12,7.9141608719576055,24.27178043426595,35.45574373518583
97,12,3.545118796052804,15.605988435166822,18.03404494303452
98,12,8.279131026791484,28.28778368149904,33.68491751471465
